record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
IT-2009-0102__RM02__0,IT-2009-0102,RM02,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0102&station=RM02&data-type=ACC,downloaded,200,,,2026-03-17T07:33:16.315410+00:00
EMSC-20160824_0000006__ANT__0,EMSC-20160824_0000006,ANT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=ANT&data-type=ACC,downloaded,200,,,2026-03-17T07:33:16.652263+00:00
EMSC-20161026_0000095__CMI__0,EMSC-20161026_0000095,CMI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=CMI&data-type=ACC,downloaded,200,,,2026-03-17T07:33:16.883228+00:00
IT-2009-0121__RM07__0,IT-2009-0121,RM07,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0121&station=RM07&data-type=ACC,downloaded,200,,,2026-03-17T07:33:17.141836+00:00
EMSC-20140524_0000026__PLG__0,EMSC-20140524_0000026,PLG,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20140524_0000026&station=PLG&data-type=ACC,downloaded,200,,,2026-03-17T07:33:17.498130+00:00
IT-2009-0174__RM18__0,IT-2009-0174,RM18,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0174&station=RM18&data-type=ACC,downloaded,200,,,2026-03-17T07:33:17.742679+00:00
IT-2012-0008__PIT__0,IT-2012-0008,PIT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0008&station=PIT&data-type=ACC,downloaded,200,,,2026-03-17T07:33:17.995067+00:00
IT-2012-0010__MIR06__0,IT-2012-0010,MIR06,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0010&station=MIR06&data-type=ACC,downloaded,200,,,2026-03-17T07:33:18.273114+00:00
IT-2009-0121__MI02__0,IT-2009-0121,MI02,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0121&station=MI02&data-type=ACC,downloaded,200,,,2026-03-17T07:33:20.398883+00:00
IT-2009-0174__AMT__0,IT-2009-0174,AMT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0174&station=AMT&data-type=ACC,downloaded,200,,,2026-03-17T07:33:20.650212+00:00
IT-2009-0084__AQU__0,IT-2009-0084,AQU,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0084&station=AQU&data-type=ACC,downloaded,200,,,2026-03-17T07:33:20.898053+00:00
